Date,Revenue,COGS,Payroll,Marketing,R&D,Consulting,Travel,Profit
2020-01-01,107450.71229516849,61402.29988243519,12585.031541767466,9794.284515718064,8189.594273379526,2592.0654340202886,1542.575167023881,11344.861480824082
2020-01-02,97926.03548243223,54146.26141278582,10321.22027446682,6027.055464690373,6572.46114767463,3901.2878049345277,1576.0364054678537,15381.712972412206
2020-01-03,109715.32807151039,47105.07174073681,11353.593768592338,6025.771802735474,8376.772778280883,3846.8089780766345,1838.830611071049,31168.478392017205
2020-01-04,122845.44784612038,66098.78299563393,15901.950256832492,12158.13997392612,6864.132581205364,4820.386260077717,2083.1962826390422,14918.859495805707
2020-01-05,96487.69937914996,56831.71932152244,12160.611800477092,6252.521365755915,5307.712716770185,2500.673953382018,1668.2389636676396,11766.221257574653
2020-01-06,96487.94564576229,51766.56398156851,13229.467095891716,9025.92526938803,6490.484914868111,2247.325590807316,1593.430699569607,12134.748093668997
2020-01-07,123688.19223261088,57678.69460904885,15521.232410718832,6209.93362666885,7903.6590388719405,3718.236420990894,1353.4309421124049,31303.005184199108
2020-01-08,111511.52093729364,55768.68058221031,13506.530721724359,5692.801458388244,7784.081707401975,3333.4546689580625,1890.4611456306127,23535.51065298007
2020-01-09,92957.88421097572,49188.20044678119,11146.055512115452,6813.214769099423,6863.89896748499,2184.4108396000925,1603.321464975326,15158.78221091925
2020-01-10,108138.40065378947,54297.813745726184,10956.836352836863,6697.631239355105,7844.275113229978,3748.551844727662,2155.717318342597,22437.575039571093
2020-01-11,93048.73460781306,39451.78773123552,10866.032111101938,7861.8796555879635,7282.72302676071,2534.2335279374356,1575.6523196744272,23476.42623551507
2020-01-12,93014.05369644615,43010.889839777104,13840.584936684472,7280.97421218091,5762.005975610831,2206.9727858673573,1568.9893300723206,19343.63661625315
2020-01-13,103629.43407349051,58082.14293921382,14889.246907156807,5582.962170600903,5823.1039426580355,2760.6537074361563,1569.7924398855992,14921.531966539187
2020-01-14,71300.79633013303,40804.27706400474,8304.325556674286,4144.816168162825,4743.4551146052545,2229.8022094503376,1331.8439086541691,9742.276308581415
2020-01-15,74126.23251230452,31685.99983472608,9591.176194511158,5144.543146544229,3952.5807339081234,2559.5357148908533,1480.1783785378504,19712.218509186227
2020-01-16,91565.68706138541,54067.46429086432,13035.734138630207,5428.032534942499,5371.749900058685,2713.8071426371757,1628.9946585266111,9319.904395725913
2020-01-17,84807.53319498364,39500.34029368493,10351.922717599655,7599.697810334049,4769.290854176274,2587.6389548394104,1367.5217932209973,18631.12077112832
2020-01-18,104713.70998892911,55756.14974739804,10565.392725730613,7414.098398484035,6481.455240431096,2385.265088587568,1129.8136283846743,20981.53515991311
2020-01-19,86379.63886718183,47540.33246667361,8959.773225904237,4722.512489186177,4607.187370901178,3307.8062123713503,1491.5510261663635,15750.47607597892
2020-01-20,78815.44447997063,44324.95846735291,9892.885907619067,5849.457280163357,4016.0608614858115,3040.265098880357,1346.6103944918223,10345.206469977304
2020-01-21,121984.73153382332,71867.29731837401,18111.313252389296,6653.280133181039,8502.80178652574,4107.046813780795,2165.9220383054144,10577.07019126702
2020-01-22,96613.35549270197,44691.78370394564,13010.000545936431,5453.521060874893,6599.413818992231,1966.3357014376422,1086.470695106734,23805.82996640839
2020-01-23,101012.92307031885,57749.21851792521,10459.464896543097,6260.830629993799,7197.248354883328,3105.287190488267,1670.4835381412818,14570.38994234387
2020-01-24,78628.77720679814,33522.38692098699,8607.338426395941,7310.619482288675,5489.200208814487,2562.069911548885,1018.8118624396773,20118.35039432349
2020-01-25,91834.25913212226,49683.085511413345,12725.120383651189,8837.26830115981,4906.597977569701,3663.551855802341,1616.5320550947888,10402.103047431068
2020-01-26,101663.83884564799,55751.99640233313,14443.583692290418,9283.218574271725,5970.957836908755,4058.556585160942,1261.0117777099417,10894.513976973089
2020-01-27,82735.09633866546,44308.338065814954,10828.760688675804,5518.750355314217,4458.246713389065,3073.7928902889466,1393.2413805899507,13153.96624459252
2020-01-28,105635.47027518509,47584.86527187326,13967.24425652206,6720.773910325853,7953.207097341326,2247.5657427199035,1367.9718895770054,25793.842106825672
2020-01-29,90990.41965121792,52283.880324593825,9227.96379023328,7047.916320503813,6588.3532937557275,3554.588769835459,918.0881412914191,11369.629011004392
2020-01-30,95624.59375310085,41479.24189355372,13523.85284954173,8232.57544892358,5359.35782118515,3084.201532405578,1561.8918678584032,22383.472339632674
2020-01-31,90974.40081655905,37365.63893092935,12683.083318750383,9067.29475034528,5480.23215022964,3276.6918976562292,1012.7898778798301,22088.669890768346
2020-02-01,127784.17276763407,69449.80317006994,14433.446857112962,7229.841367276569,10094.751553519973,3596.3394844327286,2120.3118823063114,20859.678452915585
2020-02-02,99797.541628931,49409.27814846929,13515.963886003698,5235.838097674117,6768.746379012953,2633.9953798392667,1921.7108908346434,20312.008847097022
2020-02-03,84134.3360656615,47941.394059042796,9317.266089676961,7127.675388978039,6228.857631209715,2462.1814936449277,1656.8119922485341,9400.149410860526
2020-02-04,112338.17368154784,53549.29639686145,11460.348199995267,10291.444914553591,6508.618892630291,2576.7557645766533,1388.4134244124416,26563.296088518153
2020-02-05,81687.34525043466,35424.18433171094,8990.250034896411,7541.166511683366,4599.1272248682,2217.1026040803117,1477.9309305256231,21437.583612669812
