Company,Month,Revenue,Expenses,Profit
Huber PLC,2021-05,64867.93,18117.55,46750.380000000005
Walker-Garcia,1971-11,49836.84,43292.39,6544.449999999997
Soto Group,1986-02,80692.26,24527.43,56164.829999999994
Martin Inc,2000-08,59551.18,52877.45,6673.730000000003
"Jones, Garza and Edwards",1994-08,85109.32,59852.27,25257.05000000001
"Martin, Barnes and Bailey",1992-08,12407.25,11617.19,790.0599999999995
"Adams, Davis and Porter",1993-02,55304.6,21473.86,33830.74
Wallace and Sons,1975-11,31989.31,23174.69,8814.620000000003
Lawrence Inc,1995-08,78917.58,14725.55,64192.03
Martinez-Johnston,1971-12,43329.64,25475.7,17853.94
Watkins-Myers,1977-03,42331.38,28586.92,13744.46
"Williams, Burgess and Dixon",2002-12,19248.02,12879.09,6368.93
"Owen, Gomez and Torres",1995-01,80174.73,60753.71,19421.019999999997
"Hernandez, Gutierrez and Hutchinson",1970-09,18187.55,12392.17,5795.379999999999
Ryan Inc,2014-02,43056.47,31973.09,11083.380000000001
"Garner, Brown and Kelley",2023-11,30097.75,24463.67,5634.080000000002
Horne Ltd,2002-10,95581.63,25606.43,69975.20000000001
"Smith, Barnes and Walker",1982-06,30054.4,28693.01,1361.390000000003
Velez LLC,1983-12,64827.58,18038.68,46788.9
Vang LLC,1979-02,35752.7,32904.85,2847.8499999999985
Lee-Wilson,2021-04,10372.61,10123.5,249.11000000000058
Jones Inc,1978-09,79314.1,71535.01,7779.090000000011
Wood Inc,1999-05,75654.37,66355.0,9299.369999999995
"Johnson, Cruz and Oliver",1995-10,33540.71,32977.2,563.510000000002
Blackwell and Sons,2004-02,87242.06,10042.67,77199.39
Mcclain PLC,1985-05,44631.68,19742.06,24889.62
"Moran, Avery and Johnson",1989-02,18899.61,16815.77,2083.84
Smith LLC,2001-03,17173.6,16551.37,622.2299999999996
"Pugh, Gomez and Aguilar",1986-07,85465.88,81690.09,3775.790000000008
Barajas-Johnson,2010-04,90587.79,50603.1,39984.689999999995
"Johnson, Smith and Ingram",1988-02,82351.57,69855.08,12496.490000000005
"Barnett, Estrada and Anderson",1976-03,41279.81,32610.73,8669.079999999998
"Nguyen, Keith and Hall",1976-05,32999.85,23082.82,9917.029999999999
Baker Inc,1975-03,30549.26,20841.34,9707.919999999998
Fowler-Richards,1983-05,64440.99,19454.62,44986.369999999995
"Willis, Vazquez and Gutierrez",2010-09,89119.04,29668.43,59450.60999999999
Gutierrez-King,1985-11,87439.56,16887.26,70552.3
Richards-Wiley,2004-05,74909.83,45545.87,29363.96
Johnston Group,1993-06,53191.63,52995.76,195.86999999999534
Russell-Bush,2013-06,57894.44,22387.39,35507.05
Holland Inc,1986-08,62138.44,25243.33,36895.11
Hancock-Andersen,1995-05,43397.45,40729.7,2667.75
Smith Group,1974-07,75551.99,14283.13,61268.86000000001
Walker-Andersen,2009-12,85045.26,41359.46,43685.799999999996
Wolf Ltd,1979-07,50104.6,21725.03,28379.57
Robinson Ltd,2019-03,47358.48,17803.56,29554.920000000002
Christian Ltd,1993-09,51574.81,16958.75,34616.06
"Kelly, Hart and Mathis",1997-06,41050.6,31342.19,9708.41
"Fisher, Johnson and Vega",2000-08,49392.06,13908.03,35484.03
Sawyer and Sons,1986-01,67566.97,43008.52,24558.450000000004
"Parker, Porter and Gonzalez",2019-11,55661.44,42714.87,12946.57
Ball PLC,2003-08,99282.02,15474.93,83807.09
"Ortiz, Osborne and Lawson",1991-05,79118.76,59773.85,19344.909999999996
Lambert Ltd,2004-08,59419.23,48378.25,11040.980000000003
"Pittman, Figueroa and Smith",1977-07,22581.1,20366.54,2214.5599999999977
"Mitchell, Kelly and Le",1984-03,29688.05,25717.02,3971.029999999999
Cameron-Lynch,1999-07,66436.98,18023.17,48413.81
Vasquez PLC,2015-11,52266.24,37099.63,15166.61
Barnes-Pham,1999-06,58517.12,45179.37,13337.75
"Camacho, Bright and Richards",2006-12,84479.75,42199.08,42280.67
Miller-Campbell,1981-12,78098.62,60735.46,17363.159999999996
Klein PLC,2005-11,23538.76,11949.47,11589.289999999999
Dunn LLC,1990-12,58572.38,52227.85,6344.529999999999
Garcia-Wilson,2018-04,22733.01,14875.14,7857.869999999999
Williams-Price,1986-01,92608.64,54310.5,38298.14
Murphy-Robinson,2022-07,26328.03,16444.52,9883.509999999998
"Brandt, Estrada and Robertson",1982-07,65914.85,56231.17,9683.680000000008
"Price, Smith and Armstrong",1981-11,51002.55,41282.73,9719.82
Wright-Schultz,1992-04,22305.36,17704.34,4601.02
Allen LLC,1983-05,99565.11,11981.69,87583.42
Lawson-Garcia,2007-12,22716.91,21325.07,1391.8400000000001
Harrison and Sons,1972-03,60918.53,35509.64,25408.89
Wilson-Freeman,2016-05,83318.74,53191.19,30127.550000000003
Kent Ltd,2020-07,76080.6,32358.9,43721.700000000004
"White, Wong and Benjamin",2017-05,72470.52,34635.67,37834.850000000006
"Todd, Rose and Huffman",2000-12,14721.95,11231.31,3490.6400000000012
Roberts-Brown,1979-08,88840.87,30470.94,58369.92999999999
Burns Ltd,1996-06,80192.03,18207.13,61984.899999999994
Roberts Ltd,2017-05,63192.78,27557.59,35635.19
Mosley PLC,1976-02,82590.92,63216.71,19374.21
Buck PLC,2022-06,95802.97,48224.87,47578.1
Santos-Bonilla,1970-10,34437.94,33318.94,1119.0
"Weiss, Barnes and Turner",1973-11,95055.76,45176.55,49879.20999999999
Miller Ltd,1999-03,96488.74,30387.61,66101.13
"Taylor, Henderson and Ponce",2016-12,80496.63,30733.64,49762.990000000005
